protocol_id,title,keywords,triage_level,required_actions,red_flags,escalation,source_reference
PR001,Θωρακικό άλγος - αρχική διαλογή,"θωρακικό άλγος, πόνος στήθους, στηθάγχη, chest pain",Επείγον (Κόκκινο),"Άμεση λήψη ΗΚΓ εντός 10 λεπτών. Μέτρηση ζωτικών σημείων. Ενημέρωση εφημερεύοντος καρδιολόγου. Τοποθέτηση φλεβικής γραμμής.","Πόνος σε ηρεμία διάρκειας άνω των 20 λεπτών. Αντανάκλαση σε γνάθο ή αριστερό άκρο. Συνοδός εφίδρωση, ναυτία ή δύσπνοια. Αιμοδυναμική αστάθεια.",Άμεση παραπομπή σε Τμήμα Επειγόντων. Μην αναμένετε προγραμματισμένο ραντεβού.,Manchester Triage System - Chest Pain Flowchart
PR002,Δύσπνοια στην κόπωση,"δύσπνοια, δυσκολία αναπνοής, κόπωση, αναπνευστική δυσχέρεια",Επείγον (Πορτοκαλί),"Μέτρηση κορεσμού οξυγόνου. Καταγραφή σταδίου NYHA. Έλεγχος για οίδημα κάτω άκρων. Ζήτηση πρόσφατου ΗΚΓ και ακτινογραφίας θώρακος.","Κορεσμός οξυγόνου κάτω από 92%. Ορθόπνοια ή παροξυσμική νυκτερινή δύσπνοια. Ταχεία επιδείνωση εντός ημερών. Συνοδό θωρακικό άλγος.",Αξιολόγηση από ιατρό εντός 60 λεπτών. Επί δεσμευτικών ευρημάτων άμεση παραπομπή.,ESC Guidelines - Acute Heart Failure Assessment
PR003,Αίσθημα παλμών,"παλμοί, αρρυθμία, ταχυκαρδία, αίσθημα παλμών",Ημιεπείγον (Κίτρινο),"Λήψη ΗΚΓ 12 απαγωγών. Καταγραφή διάρκειας και συχνότητας επεισοδίων. Λήψη ιστορικού καφεΐνης, αλκοόλ και διεγερτικών. Έλεγχος θυρεοειδικής λειτουργίας.","Συγκοπτικό επεισόδιο κατά τη διάρκεια παλμών. Οικογενειακό ιστορικό αιφνιδίου θανάτου. Παλμοί με συνοδό θωρακικό άλγος ή δύσπνοια.",Επί απουσίας κόκκινων σημαιών προγραμματισμός Holter ρυθμού εντός 2 εβδομάδων.,ESC Guidelines - Supraventricular Tachycardia
PR004,Οίδημα κάτω άκρων,"οίδημα, πρήξιμο, κατακράτηση υγρών, οίδημα κάτω άκρων",Ημιεπείγον (Κίτρινο),"Καταγραφή σωματικού βάρους και σύγκριση με προηγούμενη μέτρηση. Έλεγχος αμφοτερόπλευρου ή ετερόπλευρου οιδήματος. Έλεγχος συμμόρφωσης σε διουρητική αγωγή. Μέτρηση αρτηριακής πίεσης.","Αύξηση βάρους άνω των 2kg εντός 7 ημερών. Ετερόπλευρο οίδημα με ερυθρότητα ή άλγος (υποψία θρόμβωσης). Συνοδός δύσπνοια ή ορθόπνοια.",Επί αύξησης βάρους ή δύσπνοιας αξιολόγηση από ιατρό αυθημερόν.,ESC Guidelines - Chronic Heart Failure Monitoring
PR005,Ζάλη και προλιποθυμικά επεισόδια,"ζάλη, λιποθυμία, προλιποθυμικά, συγκοπή, ίλιγγος",Ημιεπείγον (Κίτρινο),"Μέτρηση αρτηριακής πίεσης σε ύπτια και όρθια θέση. Λήψη ΗΚΓ. Έλεγχος αιματοκρίτη και σιδήρου. Καταγραφή σχέσης με γεύματα, στάση σώματος και φαρμακευτική αγωγή.","Συγκοπή κατά την άσκηση. Απώλεια συνείδησης χωρίς πρόδρομα συμπτώματα. Τραυματισμός κατά το επεισόδιο. Παθολογικό ΗΚΓ.",Επί συγκοπής στην άσκηση άμεση καρδιολογική εκτίμηση. Άλλως εντός 7 ημερών.,ESC Guidelines - Syncope Evaluation
PR006,Ανεξέλεγκτη αρτηριακή υπέρταση,"υπέρταση, υψηλή πίεση, αρτηριακή πίεση",Μη επείγον (Πράσινο),"Επιβεβαίωση με μετρήσεις κατ οίκον επί 7 ημέρες. Έλεγχος συμμόρφωσης στην αγωγή. Καταγραφή πρόσληψης νατρίου και αλκοόλ. Έλεγχος νεφρικής λειτουργίας και ηλεκτρολυτών.","Συστολική άνω των 180 ή διαστολική άνω των 120 mmHg. Συνοδά νευρολογικά συμπτώματα, θωρακικό άλγος ή διαταραχή όρασης.",Επί υπερτασικής κρίσης άμεση παραπομπή. Άλλως ραντεβού εντός 2 εβδομάδων για αναπροσαρμογή αγωγής.,ESH Guidelines - Hypertension Management
PR007,Προεγχειρητική καρδιολογική εκτίμηση,"προεγχειρητικός, προεγχειρητική εκτίμηση, χειρουργείο, επέμβαση",Προγραμματισμένο (Μπλε),"Υπολογισμός καρδιαγγειακού κινδύνου κατά RCRI. Λήψη ΗΚΓ. Έλεγχος λειτουργικής ικανότητας σε METs. Επανεκτίμηση αντιπηκτικής ή αντιαιμοπεταλιακής αγωγής ενόψει επέμβασης.","Πρόσφατο έμφραγμα εντός 6 μηνών. Ασταθής στηθάγχη. Σοβαρή βαλβιδοπάθεια. Μη ελεγχόμενη αρρυθμία.",Ολοκλήρωση εκτίμησης τουλάχιστον 7 ημέρες πριν την προγραμματισμένη επέμβαση.,ESC/ESA Guidelines - Non-cardiac Surgery
PR008,Έλεγχος εμφυτευμένης συσκευής,"βηματοδότης, απινιδωτής, συσκευή, έλεγχος συσκευής",Προγραμματισμένο (Μπλε),"Τηλεμετρικός έλεγχος συσκευής. Έλεγχος υπολειπόμενης διάρκειας μπαταρίας. Έλεγχος ακεραιότητας ηλεκτροδίων. Επισκόπηση καταγεγραμμένων επεισοδίων αρρυθμίας.","Απώλεια σύλληψης ή αίσθησης. Απροσδόκητη εκφόρτιση απινιδωτή. Σημεία λοίμωξης στη θήκη της συσκευής. Ένδειξη εξάντλησης μπαταρίας.",Επί δυσλειτουργίας συσκευής άμεση επικοινωνία με το κέντρο εμφύτευσης.,EHRA Guidelines - Cardiac Device Follow-up
PR009,Άτυπο θωρακικό άλγος,"άτυπο άλγος, γαστροοισοφαγική παλινδρόμηση, άγχος, μη καρδιακό άλγος",Ημιεπείγον (Κίτρινο),"Λήψη ΗΚΓ για αποκλεισμό καρδιακής αιτίας. Καταγραφή σχέσης πόνου με γεύματα, στάση σώματος και stress. Επισκόπηση προηγούμενων καρδιολογικών εξετάσεων.","Οποιοδήποτε χαρακτηριστικό τυπικής στηθάγχης. Παράγοντες καρδιαγγειακού κινδύνου σε ασθενή άνω των 40. Μεταβολές στο ΗΚΓ σε σχέση με προηγούμενο.",Ο αποκλεισμός καρδιακής αιτίας προηγείται πάντα. Μη αποδίδετε το άλγος σε μη καρδιακή αιτία χωρίς ιατρική αξιολόγηση.,Manchester Triage System - Atypical Chest Pain
PR010,Ασθενής υπό αντιπηκτική αγωγή,"αντιπηκτικά, αντιπηκτική αγωγή, αιμορραγία, apixaban, warfarin",Ημιεπείγον (Κίτρινο),"Επιβεβαίωση φαρμάκου και δοσολογίας. Έλεγχος νεφρικής λειτουργίας. Καταγραφή συνοδών φαρμάκων για αλληλεπιδράσεις. Έλεγχος για σημεία αιμορραγίας.","Ενεργός αιμορραγία οποιασδήποτε εντόπισης. Πρόσφατη κρανιοεγκεφαλική κάκωση. Μέλαινα ή αιματουρία. Απότομη πτώση αιματοκρίτη.",Επί ενεργού αιμορραγίας άμεση παραπομπή σε Τμήμα Επειγόντων.,EHRA Practical Guide - NOAC Management
